,Type,Episodes,Rating,Start_season,Score
112,TV,12,R+ - Mild Nudity,Summer,6.21
113,TV,13,R - 17+ (violence & profanity),Fall,7.42
114,TV,75,PG-13 - Teens 13 or older,Fall,8.11
115,TV,62,PG-13 - Teens 13 or older,Fall,8.42
116,OVA,8,PG-13 - Teens 13 or older,Winter,8.33
117,OVA,8,PG-13 - Teens 13 or older,Winter,8.21
118,OVA,14,PG-13 - Teens 13 or older,Winter,8.29
119,TV,12,R - 17+ (violence & profanity),Winter,6.14
120,TV,44,PG-13 - Teens 13 or older,Winter,7.45
121,TV,12,PG-13 - Teens 13 or older,Fall,6.87
122,TV,13,G - All Ages,Winter,7.11
123,TV,26,PG-13 - Teens 13 or older,Fall,7.61
124,TV,12,R+ - Mild Nudity,Spring,6.76
125,TV,14,R+ - Mild Nudity,Fall,7.24
126,TV,12,PG-13 - Teens 13 or older,Winter,6.62
127,TV,12,PG-13 - Teens 13 or older,Spring,6.86
128,TV,50,R - 17+ (violence & profanity),Fall,7.66
129,OVA,3,R+ - Mild Nudity,Summer,7.12
130,TV,24,R - 17+ (violence & profanity),Fall,7.28
131,TV,45,PG-13 - Teens 13 or older,Spring,8.06
132,TV,64,PG-13 - Teens 13 or older,Summer,7.78
133,Movie,1,R - 17+ (violence & profanity),Summer,6.59
134,TV,24,R+ - Mild Nudity,Fall,7.43
135,TV,26,PG-13 - Teens 13 or older,Winter,6.98
136,TV,13,PG-13 - Teens 13 or older,Winter,7.34
137,TV,24,PG-13 - Teens 13 or older,Spring,6.34
138,TV,13,R - 17+ (violence & profanity),Fall,7.66
139,TV,24,R - 17+ (violence & profanity),Fall,7.33
140,TV,26,G - All Ages,Spring,6.94
141,TV,26,PG - Children,Spring,6.48
142,Movie,1,PG-13 - Teens 13 or older,Summer,8.72
143,TV,26,PG-13 - Teens 13 or older,Winter,7.42
144,TV,26,PG-13 - Teens 13 or older,Summer,7.48
145,TV,24,PG-13 - Teens 13 or older,Spring,7.41
146,TV,26,PG-13 - Teens 13 or older,Summer,7.38
147,TV,12,R - 17+ (violence & profanity),Fall,6.91
148,TV,101,PG-13 - Teens 13 or older,Fall,8.53
149,TV,13,PG - Children,Summer,6.35
150,TV,25,PG-13 - Teens 13 or older,Fall,7.23
151,TV,24,R - 17+ (violence & profanity),Spring,6.93
152,TV,26,PG-13 - Teens 13 or older,Spring,6.63
153,OVA,4,PG-13 - Teens 13 or older,Summer,6.19
154,TV,26,PG-13 - Teens 13 or older,Spring,7.55
155,TV,26,G - All Ages,Spring,7.18
156,OVA,1,G - All Ages,Summer,6.69
157,TV,13,PG-13 - Teens 13 or older,Fall,7.21
158,TV,13,PG-13 - Teens 13 or older,Fall,7.42
159,TV,26,PG-13 - Teens 13 or older,Spring,7.7
160,TV,39,G - All Ages,Spring,7.39
161,TV,12,PG-13 - Teens 13 or older,Winter,6.37
162,TV,26,PG-13 - Teens 13 or older,Spring,8.29
163,TV,13,PG-13 - Teens 13 or older,Fall,8.12
164,Movie,1,PG-13 - Teens 13 or older,Winter,7.89
166,TV,24,PG-13 - Teens 13 or older,Spring,7.14
167,OVA,3,PG-13 - Teens 13 or older,Winter,7.25
168,Special,1,PG-13 - Teens 13 or older,Fall,7.34
169,Special,1,PG-13 - Teens 13 or older,Spring,7.21
170,TV,24,R+ - Mild Nudity,Fall,6.8
171,OVA,5,R+ - Mild Nudity,Fall,7.55
172,TV,12,PG-13 - Teens 13 or older,Winter,7.17
173,TV,12,PG-13 - Teens 13 or older,Summer,6.88
174,TV,24,R+ - Mild Nudity,Spring,6.55
175,TV,24,R+ - Mild Nudity,Spring,7.35
176,Movie,1,PG - Children,Summer,8.83
177,TV,50,PG-13 - Teens 13 or older,Spring,7.48
178,OVA,6,R+ - Mild Nudity,Winter,7.21
179,TV,26,PG-13 - Teens 13 or older,Winter,7.82
180,OVA,5,Rx - Hentai,Summer,6.75
181,TV,12,PG-13 - Teens 13 or older,Winter,6.11
182,TV,26,R - 17+ (violence & profanity),Spring,8.5
183,TV,27,PG-13 - Teens 13 or older,Spring,7.16
184,OVA,13,R - 17+ (violence & profanity),Spring,7.4
185,OVA,3,PG-13 - Teens 13 or older,Spring,7.67
186,TV,26,PG-13 - Teens 13 or older,Fall,7.55
189,Movie,1,PG-13 - Teens 13 or older,Spring,6.86
193,Movie,1,PG-13 - Teens 13 or older,Fall,5.94
195,TV,26,PG-13 - Teens 13 or older,Fall,7.52
196,Movie,1,R - 17+ (violence & profanity),Summer,6.77
198,OVA,2,Rx - Hentai,Spring,6.65
199,TV,13,R+ - Mild Nudity,Winter,6.68
201,TV,64,PG-13 - Teens 13 or older,Winter,6.48
202,TV,13,R+ - Mild Nudity,Summer,7.56
203,OVA,6,PG-13 - Teens 13 or older,Spring,8.03
204,TV,26,R - 17+ (violence & profanity),Fall,7.65
205,TV,12,R - 17+ (violence & profanity),Summer,6.92
206,TV,27,R - 17+ (violence & profanity),Spring,7.02
207,TV,26,PG - Children,Summer,6.18
208,TV,70,PG - Children,Spring,8.16
209,TV,78,G - All Ages,Spring,7.65
210,TV,26,G - All Ages,Spring,6.69
212,TV,26,PG-13 - Teens 13 or older,Spring,6.64
213,TV,50,PG-13 - Teens 13 or older,Spring,8.09
214,TV,42,PG-13 - Teens 13 or older,Summer,7.36
215,TV,24,R - 17+ (violence & profanity),Fall,8.17
216,TV,12,PG-13 - Teens 13 or older,Fall,7.66
217,TV,11,R+ - Mild Nudity,Summer,6.45
218,TV,13,R - 17+ (violence & profanity),Winter,7.42
219,TV,13,PG-13 - Teens 13 or older,Fall,7.02
220,TV,39,G - All Ages,Summer,6.88
221,TV,43,R - 17+ (violence & profanity),Summer,8.7
222,TV,51,PG-13 - Teens 13 or older,Fall,7.27
223,TV,26,PG-13 - Teens 13 or older,Fall,7.05
224,TV,12,PG-13 - Teens 13 or older,Spring,6.68
227,TV,78,PG-13 - Teens 13 or older,Spring,7.7
228,TV,26,PG-13 - Teens 13 or older,Spring,7.07
229,TV,26,PG-13 - Teens 13 or older,Spring,7.84
230,OVA,6,PG-13 - Teens 13 or older,Summer,7.83
231,OVA,7,PG-13 - Teens 13 or older,Fall,7.65
232,OVA,1,PG-13 - Teens 13 or older,Winter,7.22
233,TV,13,R+ - Mild Nudity,Summer,6.45
234,OVA,4,R - 17+ (violence & profanity),Spring,6.23
235,OVA,5,PG-13 - Teens 13 or older,Summer,6.64
236,TV,13,PG-13 - Teens 13 or older,Spring,6.67
237,TV,13,PG-13 - Teens 13 or older,Summer,6.84
238,OVA,3,PG-13 - Teens 13 or older,Spring,6.83
239,TV,75,PG-13 - Teens 13 or older,Fall,8.75
240,Special,1,PG-13 - Teens 13 or older,Spring,8.29
241,OVA,1,PG-13 - Teens 13 or older,Summer,8.23
242,TV,12,PG-13 - Teens 13 or older,Winter,6.8
243,TV,26,R - 17+ (violence & profanity),Fall,7.87
244,OVA,6,R+ - Mild Nudity,Fall,8.03
246,TV,13,R - 17+ (violence & profanity),Fall,7.5
247,TV,26,PG-13 - Teens 13 or older,Spring,6.7
248,TV,26,PG-13 - Teens 13 or older,Spring,7.31
249,TV,12,PG-13 - Teens 13 or older,Winter,6.75
250,TV,24,R+ - Mild Nudity,Fall,7.22
251,TV,9,R+ - Mild Nudity,Spring,5.91
252,TV,12,R+ - Mild Nudity,Fall,7.18
253,TV,14,R+ - Mild Nudity,Fall,7.17
254,TV,51,PG-13 - Teens 13 or older,Fall,6.75
255,TV,13,R - 17+ (violence & profanity),Fall,7.15
256,TV,51,G - All Ages,Fall,6.83
257,OVA,3,PG-13 - Teens 13 or older,Fall,5.74
258,TV,50,PG-13 - Teens 13 or older,Fall,7.3
259,TV,50,G - All Ages,Winter,7.7
260,TV,12,PG-13 - Teens 13 or older,Winter,7.03
261,TV,25,PG-13 - Teens 13 or older,Fall,6.8
262,TV,25,PG-13 - Teens 13 or older,Spring,7.05
263,TV,24,PG-13 - Teens 13 or older,Winter,7.44
264,TV,51,PG - Children,Winter,6.73
265,TV,13,PG-13 - Teens 13 or older,Spring,6.59
266,TV,13,PG-13 - Teens 13 or older,Winter,7.69
267,TV,26,PG-13 - Teens 13 or older,Summer,7.01
268,TV,26,PG-13 - Teens 13 or older,Spring,6.85
269,TV,16,G - All Ages,Fall,6.73
270,TV,13,R+ - Mild Nudity,Summer,5.93
271,TV,13,PG-13 - Teens 13 or older,Winter,6.3
272,TV,38,PG - Children,Summer,6.73
273,TV,12,PG-13 - Teens 13 or older,Fall,6.72
274,TV,12,PG-13 - Teens 13 or older,Winter,6.6
275,OVA,4,PG-13 - Teens 13 or older,Spring,6.61
276,OVA,4,R - 17+ (violence & profanity),Summer,6.77
277,TV,13,PG-13 - Teens 13 or older,Summer,6.32
278,TV,26,PG-13 - Teens 13 or older,Spring,8.09
279,TV,48,G - All Ages,Spring,6.92
280,Movie,1,PG-13 - Teens 13 or older,Fall,7.57
281,OVA,4,R+ - Mild Nudity,Spring,5.39
282,TV,13,R+ - Mild Nudity,Spring,7.26
283,TV,39,PG - Children,Winter,6.01
284,TV,26,PG-13 - Teens 13 or older,Spring,6.94
285,TV,13,PG-13 - Teens 13 or older,Summer,6.16
286,TV,50,G - All Ages,Spring,5.98
287,TV,26,PG-13 - Teens 13 or older,Fall,7.02
289,Movie,1,PG-13 - Teens 13 or older,Summer,6.83
290,OVA,13,PG-13 - Teens 13 or older,Summer,6.87
291,Movie,1,PG - Children,Summer,6.5
292,OVA,3,Rx - Hentai,Summer,6.19
293,Movie,1,PG-13 - Teens 13 or older,Summer,7.76
294,TV,10,PG-13 - Teens 13 or older,Summer,6.73
295,OVA,3,R+ - Mild Nudity,Fall,6.02
296,OVA,2,Rx - Hentai,Winter,6.56
297,TV,12,R+ - Mild Nudity,Fall,6.0
298,TV,12,R - 17+ (violence & profanity),Fall,7.83
299,TV,13,R+ - Mild Nudity,Winter,7.68
300,TV,47,PG-13 - Teens 13 or older,Fall,7.69
301,TV,25,PG-13 - Teens 13 or older,Winter,7.0
302,TV,4,R - 17+ (violence & profanity),Winter,7.27
303,TV,26,G - All Ages,Fall,7.42
304,TV,10,G - All Ages,Fall,6.02
305,TV,26,PG-13 - Teens 13 or older,Fall,8.31
306,TV,13,R+ - Mild Nudity,Spring,7.28
307,TV,45,G - All Ages,Fall,7.61
308,TV,38,G - All Ages,Spring,7.19
309,TV,51,PG - Children,Winter,7.21
310,TV,76,PG-13 - Teens 13 or older,Spring,7.49
311,TV,26,PG-13 - Teens 13 or older,Spring,7.29
312,TV,13,PG-13 - Teens 13 or older,Fall,6.46
313,TV,24,PG-13 - Teens 13 or older,Spring,6.24
314,TV,40,PG-13 - Teens 13 or older,Fall,8.33
315,TV,13,R - 17+ (violence & profanity),Summer,8.03
316,TV,26,PG-13 - Teens 13 or older,Spring,7.59
317,TV,25,PG-13 - Teens 13 or older,Fall,7.25
318,TV,13,PG-13 - Teens 13 or older,Winter,7.0
319,TV,25,PG-13 - Teens 13 or older,Fall,7.0
320,TV,20,PG-13 - Teens 13 or older,Fall,7.37
321,TV,12,G - All Ages,Spring,7.67
322,TV,13,PG-13 - Teens 13 or older,Fall,6.19
323,TV,22,PG-13 - Teens 13 or older,Fall,6.66
324,TV,13,G - All Ages,Fall,6.45
325,TV,13,PG-13 - Teens 13 or older,Winter,6.19
326,TV,51,G - All Ages,Winter,7.21
327,TV,49,G - All Ages,Winter,7.34
328,TV,50,G - All Ages,Winter,7.34
329,TV,51,G - All Ages,Winter,7.59
330,TV,12,R+ - Mild Nudity,Winter,5.63
331,TV,24,PG-13 - Teens 13 or older,Fall,7.51
332,TV,24,R - 17+ (violence & profanity),Winter,7.34
333,OVA,4,R - 17+ (violence & profanity),Winter,6.59
334,OVA,6,R+ - Mild Nudity,Winter,6.99
335,OVA,2,PG-13 - Teens 13 or older,Fall,6.3
336,TV,12,PG-13 - Teens 13 or older,Winter,6.24
339,OVA,4,PG-13 - Teens 13 or older,Spring,6.29
340,TV,37,PG-13 - Teens 13 or older,Winter,7.47
341,OVA,1,PG-13 - Teens 13 or older,Spring,6.54
342,OVA,7,R+ - Mild Nudity,Spring,5.94
343,OVA,3,G - All Ages,Fall,7.05
344,OVA,6,Rx - Hentai,Summer,6.65
345,TV,12,R+ - Mild Nudity,Winter,7.17
346,TV,13,PG-13 - Teens 13 or older,Winter,6.55
347,Movie,1,PG - Children,Summer,7.64
348,Movie,1,PG - Children,Summer,8.22
349,OVA,6,PG-13 - Teens 13 or older,Fall,6.7
350,OVA,12,R - 17+ (violence & profanity),Summer,6.37
351,TV,12,PG-13 - Teens 13 or older,Winter,6.53
352,Special,1,R+ - Mild Nudity,Spring,7.19
353,OVA,6,PG-13 - Teens 13 or older,Summer,6.73
354,Movie,1,PG-13 - Teens 13 or older,Spring,6.64
355,TV,26,R - 17+ (violence & profanity),Fall,7.5
356,OVA,3,PG-13 - Teens 13 or older,Fall,7.16
357,OVA,6,PG-13 - Teens 13 or older,Spring,7.27
358,OVA,4,R+ - Mild Nudity,Summer,6.37
359,TV,24,PG-13 - Teens 13 or older,Spring,7.03
360,TV,13,R+ - Mild Nudity,Spring,7.05
361,TV,26,R - 17+ (violence & profanity),Fall,6.65
362,TV,41,PG-13 - Teens 13 or older,Summer,7.27
363,TV,13,PG-13 - Teens 13 or older,Fall,7.99
364,TV,52,PG - Children,Fall,7.83
365,OVA,6,R - 17+ (violence & profanity),Winter,7.42
366,TV,26,PG-13 - Teens 13 or older,Summer,7.22
367,OVA,4,PG-13 - Teens 13 or older,Fall,6.82
368,TV,112,PG-13 - Teens 13 or older,Fall,8.45
369,Movie,1,PG-13 - Teens 13 or older,Spring,7.08
370,TV,12,PG-13 - Teens 13 or older,Fall,7.16
371,TV,13,R+ - Mild Nudity,Summer,7.08
372,TV,13,PG-13 - Teens 13 or older,Spring,7.72
373,TV,10,PG-13 - Teens 13 or older,Summer,7.84
374,OVA,2,PG-13 - Teens 13 or older,Summer,7.7
375,Special,1,PG-13 - Teens 13 or older,Summer,7.26
376,TV,24,R+ - Mild Nudity,Winter,7.87
377,OVA,2,R - 17+ (violence & profanity),Fall,8.0
378,OVA,1,PG-13 - Teens 13 or older,Winter,6.48
379,TV,12,R+ - Mild Nudity,Spring,6.62
380,OVA,6,R+ - Mild Nudity,Summer,6.75
381,Movie,1,R - 17+ (violence & profanity),Fall,6.91
382,TV,13,PG-13 - Teens 13 or older,Winter,6.56
383,TV,45,PG-13 - Teens 13 or older,Spring,7.76
384,Special,1,PG-13 - Teens 13 or older,Summer,7.33
385,TV,26,PG-13 - Teens 13 or older,Summer,7.28
386,TV,12,R+ - Mild Nudity,Spring,6.56
387,OVA,1,R - 17+ (violence & profanity),Summer,2.23
388,Movie,1,G - All Ages,Summer,7.19
389,Movie,1,G - All Ages,Summer,7.98
390,TV,26,PG-13 - Teens 13 or older,Spring,6.47
392,TV,26,PG-13 - Teens 13 or older,Summer,6.92
393,Movie,1,R - 17+ (violence & profanity),Summer,6.68
394,TV,13,PG-13 - Teens 13 or older,Winter,6.66
395,OVA,2,PG-13 - Teens 13 or older,Spring,6.73
396,OVA,6,PG-13 - Teens 13 or older,Winter,6.85
397,TV,24,PG-13 - Teens 13 or older,Summer,7.18
398,OVA,2,PG-13 - Teens 13 or older,Winter,6.44
399,OVA,4,PG-13 - Teens 13 or older,Winter,6.12
400,TV,51,PG-13 - Teens 13 or older,Spring,7.94
401,OVA,1,PG - Children,Summer,7.52
402,OVA,1,PG - Children,Fall,7.88
403,Movie,1,PG-13 - Teens 13 or older,Summer,7.57
404,Movie,1,G - All Ages,Fall,8.67
405,OVA,6,R - 17+ (violence & profanity),Spring,7.07
406,Movie,1,PG-13 - Teens 13 or older,Fall,7.56
407,OVA,1,R+ - Mild Nudity,Summer,5.55
408,TV,20,PG-13 - Teens 13 or older,Fall,7.46
409,Movie,1,R+ - Mild Nudity,Winter,8.48
410,OVA,3,R - 17+ (violence & profanity),Winter,6.54
411,OVA,2,PG-13 - Teens 13 or older,Spring,6.14
412,TV,39,PG-13 - Teens 13 or older,Spring,8.2
413,Movie,1,R+ - Mild Nudity,Summer,7.6
414,Movie,1,PG-13 - Teens 13 or older,Summer,7.1
415,OVA,1,R - 17+ (violence & profanity),Fall,7.32
416,TV,13,PG-13 - Teens 13 or older,Summer,7.68
417,TV,13,PG-13 - Teens 13 or older,Winter,6.21
418,TV,13,R - 17+ (violence & profanity),Fall,6.59
419,TV,25,PG-13 - Teens 13 or older,Spring,6.73
420,OVA,2,R - 17+ (violence & profanity),Winter,7.06
421,Movie,1,PG-13 - Teens 13 or older,Fall,7.54
422,Movie,1,PG-13 - Teens 13 or older,Fall,7.66
423,Movie,1,PG-13 - Teens 13 or older,Fall,7.8
424,Movie,1,PG-13 - Teens 13 or older,Fall,7.56
425,OVA,1,R+ - Mild Nudity,Fall,6.16
426,TV,26,PG-13 - Teens 13 or older,Fall,7.55
427,TV,26,PG-13 - Teens 13 or older,Spring,6.94
428,TV,26,PG-13 - Teens 13 or older,Fall,8.69
429,OVA,3,R+ - Mild Nudity,Spring,6.24
430,Movie,1,PG-13 - Teens 13 or older,Winter,7.1
431,Movie,1,PG-13 - Teens 13 or older,Winter,7.17
432,Movie,1,PG-13 - Teens 13 or older,Winter,6.99
433,Movie,1,PG-13 - Teens 13 or older,Winter,7.59
434,Movie,1,PG-13 - Teens 13 or older,Winter,7.23
435,Movie,1,PG-13 - Teens 13 or older,Winter,7.7
436,Movie,1,PG-13 - Teens 13 or older,Winter,7.28
437,OVA,1,PG - Children,Summer,6.76
438,TV,26,R - 17+ (violence & profanity),Fall,8.45
439,Movie,1,R - 17+ (violence & profanity),Winter,7.82
440,TV,24,PG-13 - Teens 13 or older,Fall,7.17
441,TV,13,PG-13 - Teens 13 or older,Summer,6.34
442,TV,13,PG-13 - Teens 13 or older,Fall,6.52
443,TV,13,PG - Children,Spring,6.6
444,TV,12,PG-13 - Teens 13 or older,Summer,6.66
445,OVA,4,R - 17+ (violence & profanity),Summer,7.72
446,Movie,1,PG - Children,Summer,6.93
