,Type,Episodes,Rating,Start_season,Score
2077,Special,3,R - 17+ (violence & profanity),Summer,7.31
2078,OVA,1,G - All Ages,Summer,6.52
2079,Movie,1,PG-13 - Teens 13 or older,Summer,7.81
2080,Music,1,G - All Ages,Fall,6.86
2083,ONA,24,PG-13 - Teens 13 or older,Fall,6.39
2084,OVA,1,PG-13 - Teens 13 or older,Fall,5.62
2085,Movie,1,G - All Ages,Winter,7.01
2087,TV,39,PG - Children,Fall,6.31
2088,TV,26,PG - Children,Spring,6.54
2089,TV,49,PG-13 - Teens 13 or older,Spring,7.02
2090,TV,39,PG - Children,Spring,6.55
2091,TV,40,PG - Children,Winter,6.33
2092,Movie,1,G - All Ages,Summer,7.25
2093,TV,26,G - All Ages,Winter,6.08
2094,TV,26,PG-13 - Teens 13 or older,Spring,6.56
2095,Movie,1,PG-13 - Teens 13 or older,Summer,6.67
2097,OVA,3,R+ - Mild Nudity,Fall,6.07
2098,OVA,6,R - 17+ (violence & profanity),Summer,5.82
2099,Movie,1,R+ - Mild Nudity,Fall,6.26
2100,Special,4,R - 17+ (violence & profanity),Spring,7.28
2101,Special,1,PG-13 - Teens 13 or older,Winter,7.06
2102,OVA,1,R - 17+ (violence & profanity),Fall,6.59
2105,Special,3,PG - Children,Winter,6.34
2106,OVA,3,PG-13 - Teens 13 or older,Spring,6.27
2107,OVA,2,PG-13 - Teens 13 or older,Summer,6.02
2108,OVA,6,PG-13 - Teens 13 or older,Winter,5.94
2109,OVA,2,PG-13 - Teens 13 or older,Summer,6.39
2110,OVA,2,R - 17+ (violence & profanity),Spring,6.22
2111,TV,13,R+ - Mild Nudity,Winter,5.52
2112,OVA,1,PG-13 - Teens 13 or older,Summer,6.19
2113,OVA,2,PG-13 - Teens 13 or older,Summer,4.97
2114,Movie,1,PG - Children,Winter,5.09
2116,Movie,1,G - All Ages,Summer,7.68
2117,Movie,1,G - All Ages,Spring,6.13
2122,OVA,1,PG - Children,Fall,6.48
2123,OVA,7,PG-13 - Teens 13 or older,Summer,7.84
2125,OVA,3,Rx - Hentai,Fall,6.34
2126,OVA,3,Rx - Hentai,Fall,6.41
2131,TV,26,PG-13 - Teens 13 or older,Fall,7.39
2132,TV,26,G - All Ages,Fall,7.08
2133,OVA,1,R+ - Mild Nudity,Winter,6.14
2134,TV,52,G - All Ages,Fall,7.11
2135,Movie,1,G - All Ages,Winter,6.59
2136,TV,52,PG-13 - Teens 13 or older,Spring,7.13
2137,Special,1,G - All Ages,Winter,7.32
2138,TV,26,G - All Ages,Spring,7.34
2142,OVA,3,Rx - Hentai,Winter,6.13
2147,OVA,1,R+ - Mild Nudity,Summer,5.71
2151,OVA,2,Rx - Hentai,Fall,5.39
2154,OVA,1,R+ - Mild Nudity,Fall,7.15
2155,OVA,1,R+ - Mild Nudity,Winter,7.03
2156,OVA,1,R+ - Mild Nudity,Spring,6.46
2157,OVA,5,Rx - Hentai,Spring,6.16
2160,TV,51,PG-13 - Teens 13 or older,Fall,7.23
2162,TV,16,PG - Children,Winter,6.86
2163,TV,12,R+ - Mild Nudity,Fall,5.47
2165,TV,25,PG-13 - Teens 13 or older,Fall,6.032258064516129
2166,TV,12,R+ - Mild Nudity,Summer,6.42
2168,TV,24,PG-13 - Teens 13 or older,Fall,7.06
2170,OVA,3,Rx - Hentai,Winter,6.06
2181,TV,13,PG-13 - Teens 13 or older,Fall,7.24
2183,Movie,1,PG-13 - Teens 13 or older,Winter,7.18
2184,Movie,1,PG-13 - Teens 13 or older,Winter,7.17
2185,OVA,1,PG-13 - Teens 13 or older,Spring,6.61
2186,Movie,1,PG-13 - Teens 13 or older,Spring,5.51
2187,TV,105,PG-13 - Teens 13 or older,Fall,6.95
2188,TV,100,PG - Children,Fall,6.77
2189,TV,52,PG-13 - Teens 13 or older,Winter,5.36
2190,Movie,1,PG - Children,Winter,7.45
2191,Movie,1,PG - Children,Winter,7.27
2195,Movie,1,PG - Children,Winter,7.77
2196,Movie,1,PG - Children,Winter,7.28
2197,OVA,1,G - All Ages,Fall,6.6
2198,TV,45,PG-13 - Teens 13 or older,Spring,7.19
2199,TV,79,PG-13 - Teens 13 or older,Spring,8.28
2200,TV,12,R - 17+ (violence & profanity),Fall,6.82
2201,TV,11,R - 17+ (violence & profanity),Summer,6.89
2202,TV,36,G - All Ages,Spring,7.57
2204,Movie,1,PG - Children,Winter,7.27
2205,Movie,1,PG - Children,Winter,7.31
2206,TV,26,PG-13 - Teens 13 or older,Spring,7.47
2208,OVA,2,Rx - Hentai,Fall,6.69
2209,OVA,2,Rx - Hentai,Fall,5.78
2211,OVA,2,PG-13 - Teens 13 or older,Fall,6.12
2212,TV,25,PG-13 - Teens 13 or older,Spring,6.87
2213,TV,39,PG-13 - Teens 13 or older,Spring,7.04
2214,OVA,1,R+ - Mild Nudity,Winter,6.59
2215,Movie,1,R - 17+ (violence & profanity),Summer,8.31
2216,OVA,1,PG-13 - Teens 13 or older,Spring,6.48
2217,OVA,2,PG-13 - Teens 13 or older,Winter,6.6
2218,Special,1,PG - Children,Spring,6.13
2219,OVA,1,PG-13 - Teens 13 or older,Winter,6.15
2220,Movie,1,R+ - Mild Nudity,Fall,6.19
2222,Movie,1,G - All Ages,Winter,7.13
2224,Movie,1,G - All Ages,Summer,7.0
2225,OVA,2,Rx - Hentai,Spring,6.11
2227,OVA,6,Rx - Hentai,Spring,6.87
2228,OVA,3,Rx - Hentai,Summer,6.98
2240,OVA,2,Rx - Hentai,Fall,6.3
2243,Special,1,R - 17+ (violence & profanity),Winter,8.02
2244,Special,1,R - 17+ (violence & profanity),Summer,8.1
2245,Movie,1,G - All Ages,Spring,7.72
2246,TV,31,R+ - Mild Nudity,Fall,7.71
2247,Movie,1,R+ - Mild Nudity,Summer,7.11
2248,OVA,3,PG-13 - Teens 13 or older,Summer,5.53
2249,Movie,1,R - 17+ (violence & profanity),Fall,7.65
2252,OVA,6,R - 17+ (violence & profanity),Summer,6.64
2253,OVA,8,R - 17+ (violence & profanity),Winter,7.44
2257,OVA,2,R+ - Mild Nudity,Spring,5.33
2258,OVA,12,R - 17+ (violence & profanity),Summer,6.65
2259,Special,5,PG - Children,Summer,6.37
2260,OVA,4,PG-13 - Teens 13 or older,Summer,5.81
2261,OVA,1,PG - Children,Fall,6.17
2262,TV,36,G - All Ages,Fall,6.61
2263,OVA,1,R - 17+ (violence & profanity),Summer,6.08
2265,Movie,1,PG-13 - Teens 13 or older,Summer,6.96
2267,Movie,1,PG-13 - Teens 13 or older,Summer,7.29
2268,OVA,2,PG-13 - Teens 13 or older,Summer,6.03
2269,OVA,3,PG-13 - Teens 13 or older,Fall,6.16
2270,ONA,6,R+ - Mild Nudity,Fall,4.42
2271,TV,12,R+ - Mild Nudity,Summer,5.68
2272,OVA,1,Rx - Hentai,Fall,5.41
2276,TV,38,PG - Children,Fall,7.19
2279,TV,39,G - All Ages,Spring,6.66
2280,Special,1,G - All Ages,Fall,7.31
2281,TV,52,PG - Children,Spring,7.09
2282,Movie,1,PG-13 - Teens 13 or older,Winter,7.05
2283,Movie,1,PG-13 - Teens 13 or older,Spring,6.78
2284,Movie,1,PG-13 - Teens 13 or older,Fall,6.69
2285,Movie,1,PG-13 - Teens 13 or older,Spring,6.71
2286,TV,12,R+ - Mild Nudity,Fall,6.72
2287,TV,13,PG-13 - Teens 13 or older,Spring,6.53
2288,OVA,8,R+ - Mild Nudity,Spring,6.63
2289,Movie,1,PG-13 - Teens 13 or older,Winter,7.58
2290,Movie,1,PG-13 - Teens 13 or older,Summer,7.68
2291,OVA,3,PG-13 - Teens 13 or older,Fall,7.22
2292,TV,26,R+ - Mild Nudity,Fall,6.6
2293,TV,42,PG-13 - Teens 13 or older,Fall,6.19
2294,OVA,3,Rx - Hentai,Summer,6.69
2295,OVA,1,Rx - Hentai,Spring,6.02
2297,TV,12,R - 17+ (violence & profanity),Fall,7.77
2298,TV,26,PG-13 - Teens 13 or older,Summer,6.6
2299,Movie,1,PG-13 - Teens 13 or older,Spring,6.69
2304,OVA,6,R - 17+ (violence & profanity),Fall,6.2
2306,TV,12,PG-13 - Teens 13 or older,Summer,7.22
2307,Special,2,PG - Children,Spring,6.73
2310,TV,12,PG-13 - Teens 13 or older,Spring,6.24
2311,OVA,3,PG-13 - Teens 13 or older,Winter,5.41
2312,OVA,4,R+ - Mild Nudity,Summer,5.72
2325,OVA,2,PG-13 - Teens 13 or older,Fall,5.48
2326,OVA,2,Rx - Hentai,Spring,6.64
2329,TV,45,PG-13 - Teens 13 or older,Spring,7.16
2330,TV,52,G - All Ages,Summer,7.12
2331,TV,50,G - All Ages,Winter,7.27
2332,TV,26,G - All Ages,Winter,6.22
2333,TV,48,G - All Ages,Winter,6.7
2334,TV,46,G - All Ages,Winter,7.68
2335,TV,48,G - All Ages,Winter,7.43
2336,TV,53,G - All Ages,Winter,7.52
2337,Movie,1,G - All Ages,Summer,6.4
2338,OVA,2,Rx - Hentai,Summer,5.19
2339,TV,13,PG-13 - Teens 13 or older,Summer,6.32
2340,TV,52,G - All Ages,Winter,7.38
2341,TV,51,G - All Ages,Winter,6.96
2342,TV,43,G - All Ages,Winter,7.36
2344,TV,40,G - All Ages,Winter,7.63
2345,TV,40,G - All Ages,Winter,7.58
2346,TV,33,PG-13 - Teens 13 or older,Winter,8.35
2347,Movie,1,PG-13 - Teens 13 or older,Spring,6.46
2348,TV,52,PG-13 - Teens 13 or older,Fall,7.06
2349,TV,22,PG-13 - Teens 13 or older,Fall,7.56
2350,OVA,1,G - All Ages,Summer,8.02
2351,TV,12,G - All Ages,Summer,6.44
2352,TV,26,G - All Ages,Fall,6.49
2354,TV,52,G - All Ages,Spring,6.26
2356,TV,52,G - All Ages,Fall,6.94
2357,TV,26,G - All Ages,Winter,7.05
2358,TV,52,G - All Ages,Spring,6.44
2359,TV,24,G - All Ages,Fall,6.49
2360,TV,50,G - All Ages,Winter,6.89
2361,TV,52,G - All Ages,Winter,5.9
2363,TV,52,G - All Ages,Winter,6.69
2364,TV,49,G - All Ages,Winter,7.17
2366,TV,26,G - All Ages,Winter,6.83
2367,Special,1,PG-13 - Teens 13 or older,Winter,6.65
2368,TV,25,R - 17+ (violence & profanity),Fall,8.14
2369,TV,52,PG-13 - Teens 13 or older,Spring,7.73
2370,OVA,1,PG-13 - Teens 13 or older,Summer,7.16
2371,OVA,1,PG-13 - Teens 13 or older,Summer,6.74
2373,OVA,5,PG-13 - Teens 13 or older,Winter,6.96
2375,Special,1,PG-13 - Teens 13 or older,Summer,7.13
2378,OVA,1,R+ - Mild Nudity,Summer,5.14
2379,Movie,1,R - 17+ (violence & profanity),Fall,7.64
2380,Movie,1,G - All Ages,Summer,7.67
2381,TV,13,PG-13 - Teens 13 or older,Fall,6.91
2382,TV,22,PG-13 - Teens 13 or older,Fall,7.46
2383,OVA,1,PG-13 - Teens 13 or older,Winter,7.27
2384,TV,54,PG-13 - Teens 13 or older,Winter,6.7
2385,OVA,1,PG-13 - Teens 13 or older,Fall,5.73
2386,OVA,1,PG-13 - Teens 13 or older,Winter,5.82
2387,OVA,1,PG-13 - Teens 13 or older,Winter,6.34
2388,TV,13,PG-13 - Teens 13 or older,Summer,7.15
2389,TV,12,PG-13 - Teens 13 or older,Summer,6.65
2390,TV,26,PG-13 - Teens 13 or older,Summer,7.02
2391,TV,12,R - 17+ (violence & profanity),Summer,7.9
2392,Movie,1,PG - Children,Fall,6.57
2393,OVA,1,PG - Children,Summer,6.01
2394,TV,26,PG-13 - Teens 13 or older,Summer,7.46
2397,Movie,2,PG - Children,Fall,6.76
2398,TV,130,PG - Children,Spring,6.64
2399,TV,24,PG-13 - Teens 13 or older,Fall,6.52
2400,Movie,1,PG-13 - Teens 13 or older,Winter,6.6
2401,Special,1,PG-13 - Teens 13 or older,Spring,6.66
2402,Special,1,PG - Children,Fall,5.82
2403,Special,2,PG - Children,Spring,6.43
2404,TV,26,PG-13 - Teens 13 or older,Fall,7.93
2405,TV,26,PG - Children,Spring,6.6
2407,Movie,1,PG-13 - Teens 13 or older,Winter,6.08
2408,OVA,1,R+ - Mild Nudity,Summer,5.48
2409,Movie,1,G - All Ages,Winter,7.86
2410,TV,26,G - All Ages,Fall,7.06
2411,Movie,1,PG - Children,Winter,6.71
2412,Movie,1,PG - Children,Winter,6.27
2414,Movie,1,PG - Children,Winter,6.29
2417,Movie,1,PG - Children,Winter,6.19
2419,Movie,1,PG - Children,Winter,6.28
2430,Movie,1,PG - Children,Winter,6.5
2433,Movie,1,PG - Children,Winter,7.18
2435,Movie,1,PG - Children,Summer,6.47
2437,Movie,1,PG - Children,Winter,7.01
2441,Movie,1,PG - Children,Winter,7.3
2442,Movie,1,PG - Children,Winter,7.0
2443,Movie,1,PG - Children,Winter,7.07
2447,Movie,1,PG - Children,Winter,6.94
2448,Movie,1,PG - Children,Winter,7.09
2457,Movie,1,PG - Children,Winter,7.49
2458,Movie,1,PG - Children,Winter,7.01
2459,Movie,1,PG - Children,Winter,7.15
2463,OVA,6,PG-13 - Teens 13 or older,Winter,6.21
2464,Special,5,PG-13 - Teens 13 or older,Fall,7.38
2467,TV,12,R - 17+ (violence & profanity),Summer,7.27
2468,TV,13,PG-13 - Teens 13 or older,Summer,6.83
2469,OVA,3,R - 17+ (violence & profanity),Fall,8.31
2470,TV,96,G - All Ages,Fall,6.2
2471,TV,39,G - All Ages,Winter,6.07
2472,TV,31,PG-13 - Teens 13 or older,Spring,6.6
2473,Special,1,PG-13 - Teens 13 or older,Spring,5.8
2477,OVA,3,PG-13 - Teens 13 or older,Fall,5.96
2478,TV,25,R+ - Mild Nudity,Spring,6.87
2479,Movie,1,PG-13 - Teens 13 or older,Summer,6.69
2480,OVA,2,R - 17+ (violence & profanity),Winter,6.6
2481,OVA,12,R - 17+ (violence & profanity),Summer,6.12
2482,OVA,1,R+ - Mild Nudity,Spring,6.36
2483,TV,13,PG-13 - Teens 13 or older,Winter,6.41
2484,TV,13,PG-13 - Teens 13 or older,Summer,6.19
2486,TV,18,G - All Ages,Winter,6.24
2487,TV,22,G - All Ages,Fall,6.63
2488,TV,26,PG-13 - Teens 13 or older,Fall,6.64
2489,TV,51,G - All Ages,Winter,6.78
2490,TV,51,G - All Ages,Winter,6.96
2491,TV,97,PG - Children,Winter,6.72
2493,TV,51,G - All Ages,Winter,6.58
2494,Movie,1,G - All Ages,Spring,6.33
2495,OVA,1,PG-13 - Teens 13 or older,Spring,5.671232876712328
2496,TV,26,PG - Children,Spring,6.86
2498,Movie,1,G - All Ages,Spring,6.79
2499,TV,33,R - 17+ (violence & profanity),Summer,6.93
2501,TV,27,G - All Ages,Spring,6.23
2502,TV,25,PG - Children,Fall,5.33
2503,OVA,2,Rx - Hentai,Summer,5.79
2504,Movie,1,R+ - Mild Nudity,Winter,6.83
2505,TV,24,PG-13 - Teens 13 or older,Spring,6.1
2506,Special,2,PG - Children,Summer,7.71
2507,OVA,1,PG-13 - Teens 13 or older,Winter,6.82
2509,TV,18,G - All Ages,Summer,5.77
2510,Music,1,G - All Ages,Winter,6.76
2511,Music,1,PG-13 - Teens 13 or older,Fall,6.51
2512,OVA,2,R+ - Mild Nudity,Winter,4.92
2513,OVA,6,PG-13 - Teens 13 or older,Winter,5.93
2515,Movie,3,PG - Children,Winter,6.44
2516,OVA,1,R - 17+ (violence & profanity),Summer,7.13
2518,TV,74,G - All Ages,Fall,7.12
2519,OVA,2,R+ - Mild Nudity,Spring,5.09
2522,TV,25,PG-13 - Teens 13 or older,Winter,6.34
2523,TV,25,PG-13 - Teens 13 or older,Summer,6.580357142857143
2525,Special,4,PG-13 - Teens 13 or older,Spring,7.44
2526,TV,12,PG-13 - Teens 13 or older,Summer,7.3
2528,Movie,1,PG-13 - Teens 13 or older,Summer,6.94
2530,TV,65,PG-13 - Teens 13 or older,Fall,7.16
2531,TV,40,G - All Ages,Fall,6.71
2533,Special,1,G - All Ages,Summer,6.92
2534,OVA,6,PG-13 - Teens 13 or older,Spring,7.94
2535,Movie,1,G - All Ages,Winter,7.76
2536,OVA,3,R+ - Mild Nudity,Spring,5.88
2537,Movie,1,Rx - Hentai,Summer,5.62
2538,Movie,1,PG - Children,Winter,7.3
2539,TV,39,PG-13 - Teens 13 or older,Spring,6.82
2540,TV,52,PG-13 - Teens 13 or older,Spring,6.89
2541,Movie,1,PG-13 - Teens 13 or older,Summer,8.07
2542,Movie,1,PG-13 - Teens 13 or older,Summer,6.12
2543,Movie,1,R+ - Mild Nudity,Summer,7.82
2544,TV,24,PG-13 - Teens 13 or older,Fall,7.87
2545,Movie,1,G - All Ages,Spring,5.23
2546,TV,52,G - All Ages,Fall,6.56
2547,Movie,1,PG - Children,Summer,5.57
2548,Music,1,G - All Ages,Fall,7.47
2549,TV,25,PG-13 - Teens 13 or older,Fall,6.31
2550,Movie,1,PG-13 - Teens 13 or older,Summer,6.11
2551,TV,39,PG-13 - Teens 13 or older,Spring,6.27
2552,TV,26,PG-13 - Teens 13 or older,Fall,6.86
2553,OVA,5,R - 17+ (violence & profanity),Winter,5.83
2557,OVA,2,PG-13 - Teens 13 or older,Winter,5.51
2558,OVA,1,PG-13 - Teens 13 or older,Winter,5.55
2559,TV,13,PG-13 - Teens 13 or older,Fall,6.08
2560,OVA,2,PG-13 - Teens 13 or older,Winter,5.66
2562,Special,1,PG-13 - Teens 13 or older,Spring,6.74
2563,OVA,2,R - 17+ (violence & profanity),Summer,5.47
2564,TV,51,PG - Children,Spring,6.68
2565,TV,24,PG-13 - Teens 13 or older,Fall,7.61
2567,TV,52,PG - Children,Winter,6.28
2570,OVA,1,PG-13 - Teens 13 or older,Fall,3.28
2571,Movie,1,G - All Ages,Winter,6.62
2573,TV,25,R+ - Mild Nudity,Fall,6.65
2576,OVA,2,Rx - Hentai,Spring,7.31
2577,TV,47,G - All Ages,Spring,7.04
2578,TV,115,G - All Ages,Fall,7.52
2579,Movie,1,G - All Ages,Winter,6.51
2580,Movie,1,G - All Ages,Summer,6.69
2581,TV,46,PG-13 - Teens 13 or older,Winter,7.06
2582,TV,50,G - All Ages,Winter,6.49
2583,TV,39,G - All Ages,Spring,6.95
2585,OVA,1,PG - Children,Fall,7.21
2586,TV,26,G - All Ages,Fall,6.18
2588,Movie,1,PG - Children,Summer,6.65
2589,TV,52,G - All Ages,Spring,7.36
2590,TV,52,G - All Ages,Spring,6.65
2591,TV,52,G - All Ages,Spring,7.03
2592,TV,44,PG - Children,Spring,7.2
2593,TV,26,G - All Ages,Spring,7.33
2594,TV,41,G - All Ages,Spring,7.02
2595,TV,43,G - All Ages,Winter,6.9
2596,TV,39,PG-13 - Teens 13 or older,Fall,7.27
2599,TV,45,PG - Children,Fall,6.16
2600,TV,50,G - All Ages,Summer,6.01
2601,TV,52,G - All Ages,Fall,7.2
2602,TV,52,G - All Ages,Fall,6.73
2603,TV,45,G - All Ages,Fall,6.23
2604,TV,51,G - All Ages,Fall,7.79
2605,TV,23,G - All Ages,Fall,7.93
2606,Movie,1,G - All Ages,Winter,5.87
2608,Special,15,PG-13 - Teens 13 or older,Spring,6.79
2609,Movie,1,G - All Ages,Winter,5.86
2610,TV,51,G - All Ages,Winter,7.12
2611,TV,49,PG-13 - Teens 13 or older,Spring,7.29
2612,TV,78,G - All Ages,Spring,6.58
2613,OVA,2,PG-13 - Teens 13 or older,Winter,5.6
2615,OVA,2,PG-13 - Teens 13 or older,Summer,5.45
2618,Special,1,PG - Children,Summer,6.5
2619,Movie,1,PG - Children,Summer,7.26
2620,Movie,1,PG - Children,Summer,7.53
2621,Movie,1,G - All Ages,Summer,6.14
2622,OVA,4,Rx - Hentai,Winter,6.86
2626,OVA,2,Rx - Hentai,Summer,5.12
2630,OVA,2,Rx - Hentai,Fall,6.98
2631,OVA,1,Rx - Hentai,Summer,6.17
2632,OVA,1,Rx - Hentai,Fall,6.15
2633,OVA,1,Rx - Hentai,Fall,6.38
2636,OVA,2,Rx - Hentai,Summer,6.8
2640,OVA,3,PG-13 - Teens 13 or older,Fall,6.32
2641,TV,26,G - All Ages,Fall,5.99
2645,Movie,1,PG-13 - Teens 13 or older,Fall,7.45
2646,Movie,1,G - All Ages,Summer,7.89
2647,OVA,1,G - All Ages,Summer,6.95
2648,TV,52,G - All Ages,Fall,6.09
2650,Movie,1,G - All Ages,Fall,6.29
2652,Special,1,PG - Children,Fall,5.23
2653,Special,1,PG-13 - Teens 13 or older,Summer,7.19
2654,Movie,1,PG-13 - Teens 13 or older,Fall,7.12
2655,TV,34,R - 17+ (violence & profanity),Winter,7.38
2656,TV,25,R - 17+ (violence & profanity),Spring,8.91
2659,TV,66,PG - Children,Fall,7.1
2661,Special,6,PG-13 - Teens 13 or older,Summer,6.55
2662,TV,63,G - All Ages,Spring,6.6
2663,TV,40,G - All Ages,Winter,7.01
2664,Movie,1,PG - Children,Summer,6.42
2665,TV,47,PG - Children,Spring,6.75
2666,OVA,3,Rx - Hentai,Fall,6.23
2667,Movie,1,PG-13 - Teens 13 or older,Winter,7.12
2668,TV,47,PG-13 - Teens 13 or older,Fall,8.67
2669,Movie,1,PG-13 - Teens 13 or older,Summer,7.27
2670,TV,51,PG - Children,Fall,7.43
2671,TV,12,PG-13 - Teens 13 or older,Fall,7.95
2672,TV,13,PG-13 - Teens 13 or older,Fall,7.21
2673,TV,24,PG-13 - Teens 13 or older,Fall,7.33
2674,OVA,1,PG-13 - Teens 13 or older,Winter,6.72
2675,TV,14,R+ - Mild Nudity,Fall,7.36
2677,TV,24,PG - Children,Fall,7.07
2678,TV,50,PG-13 - Teens 13 or older,Winter,6.64
2680,OVA,2,Rx - Hentai,Spring,6.12
2682,Special,1,PG-13 - Teens 13 or older,Fall,7.08
2683,TV,51,PG-13 - Teens 13 or older,Spring,6.82
2685,TV,13,G - All Ages,Fall,7.39
2686,OVA,3,Rx - Hentai,Spring,6.28
2687,OVA,2,Rx - Hentai,Winter,5.4
2690,Movie,1,G - All Ages,Summer,7.11
2691,Movie,1,G - All Ages,Summer,7.15
2692,Movie,1,G - All Ages,Fall,7.08
2693,Special,1,PG-13 - Teens 13 or older,Summer,8.08
2694,OVA,1,PG-13 - Teens 13 or older,Spring,7.96
2696,Special,5,PG - Children,Fall,7.35
2697,OVA,2,Rx - Hentai,Spring,6.46
2703,Movie,1,PG - Children,Winter,7.57
2704,Movie,2,PG - Children,Summer,7.12
2705,TV,13,PG-13 - Teens 13 or older,Fall,7.69
2706,TV,13,PG-13 - Teens 13 or older,Fall,6.73
2707,TV,25,PG-13 - Teens 13 or older,Fall,6.74
2708,TV,13,PG-13 - Teens 13 or older,Winter,8.27
2709,ONA,12,PG-13 - Teens 13 or older,Summer,5.06
2710,Movie,1,PG-13 - Teens 13 or older,Fall,7.36
2711,TV,13,PG-13 - Teens 13 or older,Fall,6.69
2712,OVA,5,PG-13 - Teens 13 or older,Fall,7.46
2713,OVA,1,PG-13 - Teens 13 or older,Summer,4.62
2714,OVA,1,R+ - Mild Nudity,Fall,6.62
2715,OVA,1,PG-13 - Teens 13 or older,Winter,4.83
2717,OVA,13,R - 17+ (violence & profanity),Spring,7.35
2719,TV,50,PG-13 - Teens 13 or older,Winter,6.44
2721,OVA,2,Rx - Hentai,Summer,6.56
2722,OVA,1,R - 17+ (violence & profanity),Winter,5.21
2723,TV,25,R - 17+ (violence & profanity),Fall,7.62
2724,TV,26,PG-13 - Teens 13 or older,Fall,7.34
2725,TV,46,G - All Ages,Fall,7.13
2730,TV,13,R+ - Mild Nudity,Winter,6.84
2731,Special,2,R - 17+ (violence & profanity),Summer,7.71
2732,Movie,1,R+ - Mild Nudity,Fall,6.88
2733,OVA,1,PG-13 - Teens 13 or older,Fall,6.96
2734,OVA,1,PG-13 - Teens 13 or older,Summer,6.78
2735,TV,23,PG-13 - Teens 13 or older,Fall,7.22
2736,TV,11,PG-13 - Teens 13 or older,Fall,7.59
2737,TV,26,R - 17+ (violence & profanity),Fall,8.28
2738,Special,1,PG - Children,Fall,6.54
2739,OVA,2,PG-13 - Teens 13 or older,Fall,6.29
2740,OVA,1,R - 17+ (violence & profanity),Fall,6.59
2742,OVA,1,PG-13 - Teens 13 or older,Summer,6.26
2743,TV,108,G - All Ages,Winter,6.68
2744,TV,105,PG-13 - Teens 13 or older,Fall,7.26
2745,TV,52,PG-13 - Teens 13 or older,Spring,7.23
2746,OVA,2,PG-13 - Teens 13 or older,Winter,6.36
2747,TV,68,G - All Ages,Fall,6.8
2748,Movie,1,PG-13 - Teens 13 or older,Winter,7.95
2749,Movie,1,PG-13 - Teens 13 or older,Fall,6.28
2750,Movie,1,PG-13 - Teens 13 or older,Fall,8.12
2751,Special,1,PG-13 - Teens 13 or older,Summer,6.86
2752,TV,50,G - All Ages,Spring,6.04
2753,TV,47,R+ - Mild Nudity,Winter,6.52
2754,TV,45,PG-13 - Teens 13 or older,Spring,6.37
2755,TV,119,PG-13 - Teens 13 or older,Spring,6.46
2756,TV,52,PG-13 - Teens 13 or older,Spring,6.63
2758,OVA,2,R+ - Mild Nudity,Winter,5.19
2759,OVA,1,R - 17+ (violence & profanity),Winter,7.12
2761,Movie,1,PG - Children,Summer,6.87
2762,Movie,1,PG - Children,Summer,6.99
2763,Movie,1,PG - Children,Winter,7.06
2764,OVA,2,Rx - Hentai,Winter,5.82
2765,TV,35,PG-13 - Teens 13 or older,Spring,6.39
2766,TV,50,PG-13 - Teens 13 or older,Spring,7.17
2767,Movie,1,PG-13 - Teens 13 or older,Summer,6.59
2768,Movie,1,Rx - Hentai,Spring,6.11
2771,Movie,1,G - All Ages,Winter,6.98
2772,TV,52,G - All Ages,Fall,7.14
2774,OVA,2,Rx - Hentai,Winter,6.29
2775,OVA,2,Rx - Hentai,Fall,6.38
2776,Movie,1,G - All Ages,Fall,7.25
2777,TV,23,G - All Ages,Fall,6.82
2778,TV,39,G - All Ages,Spring,6.53
2780,Special,6,PG-13 - Teens 13 or older,Fall,6.56
2782,TV,43,PG-13 - Teens 13 or older,Fall,6.99
2783,OVA,4,PG-13 - Teens 13 or older,Fall,5.97
2787,OVA,5,R+ - Mild Nudity,Summer,4.85
2788,OVA,3,PG-13 - Teens 13 or older,Summer,6.26
2791,Movie,1,PG-13 - Teens 13 or older,Summer,6.61
2794,Movie,1,PG-13 - Teens 13 or older,Winter,6.9
2796,OVA,5,Rx - Hentai,Fall,6.1
2797,TV,52,G - All Ages,Spring,6.23
2798,Special,3,PG-13 - Teens 13 or older,Spring,7.36
2799,TV,103,R+ - Mild Nudity,Fall,6.69
2800,OVA,3,Rx - Hentai,Summer,5.97
2801,TV,38,PG-13 - Teens 13 or older,Fall,6.96
2802,OVA,1,G - All Ages,Summer,6.05
2803,TV,58,R+ - Mild Nudity,Spring,6.57
2805,OVA,3,R+ - Mild Nudity,Fall,6.63
2806,OVA,3,R - 17+ (violence & profanity),Fall,6.85
2807,Movie,1,PG-13 - Teens 13 or older,Summer,7.21
2808,OVA,2,PG-13 - Teens 13 or older,Fall,7.21
2809,Movie,1,PG-13 - Teens 13 or older,Summer,7.3
2810,Special,2,PG-13 - Teens 13 or older,Fall,7.6
2811,TV,13,PG-13 - Teens 13 or older,Spring,8.25
2812,TV,12,PG-13 - Teens 13 or older,Spring,7.65
2815,OVA,2,R+ - Mild Nudity,Fall,5.77
2816,TV,53,PG - Children,Winter,6.68
2817,TV,26,PG-13 - Teens 13 or older,Spring,6.31
2819,TV,51,PG - Children,Fall,6.42
2820,OVA,2,Rx - Hentai,Spring,7.18
2824,OVA,2,Rx - Hentai,Spring,5.93
2826,TV,52,G - All Ages,Fall,7.03
2827,OVA,1,PG-13 - Teens 13 or older,Fall,7.12
2828,TV,6,R+ - Mild Nudity,Winter,4.65
2829,OVA,2,G - All Ages,Summer,4.62
2830,TV,52,G - All Ages,Winter,6.27
